id,address,categories,city,country,latitude,longitude,name,postalCode,twitter,websites,no_twitter,no_website,no_menu,state,address_location
AV1c8yf9IxWefVJwejwd,216 16th St,brewers,Denver,US,39.7419,-104.9881,Molson Coors Brewing Co,80202,,,True,True,True,CO,"216 16th St, Denver, CO, 80202, US"
AV5NZZTxa4HuVbedB2d_,Denver International Airport,"restaurant,american,pizza,pubs,brewery",Denver,US,39.73958,-104.98731000000001,Rock Bottom Restaurant & Brewery,,,,True,True,True,CO,
AV1thaMpa4HuVbed8ZW4,2620 Walnut St,"brewery,restaurant",Denver,US,39.75939,-104.9855,10barrel brewing,80205,,,True,True,True,CO,"2620 Walnut St, Denver, CO, 80205, US"
AVwdnZnZByjofQCxq3gg,1477 Monroe St,"brewery,beer garden,brewery , beer garden congress park",Denver,US,,,Cerebral Brewing,80206,cerebralbrewing,http://cerebralbrewing.com,False,False,True,CO,"1477 Monroe St, Denver, CO, 80206, US"
AV1c8ygSIxWefVJwejwl,925 W 9th Ave,"bars , pubs,craft breweries,brewers",Denver,US,39.7305,-104.9993,Renegade Brewing Company,80204,,,True,True,True,CO,"925 W 9th Ave, Denver, CO, 80204, US"
AVwdNVWq_7pvs4fz3amR,2736 Welton St,"brewery,brewers,restaurant,spa",Denver,US,39.7551,-104.9771,Spangalang Brewery,80205,,http://spangalangbrewery.com,True,False,True,CO,"2736 Welton St, Denver, CO, 80205, US"
AVwchFFvByjofQCxfGTZ,1001 16th St,"brewery,american restaurant,bar,brewery, american restaurant, , bar,brewery, american restaurant, , bar central business district",Denver,US,39.7474795,-104.994972,Rock Bottom Brewery,80265,rockbottom,http://rockbottom.com/Denver-Downtown,False,False,True,CO,"1001 16th St, Denver, CO, 80265, US"
AVwcj-h_ByjofQCxfpKf,1695 Platte St,"brewery,bars , pubs,beer , ale distributors",Denver,US,39.758293,-105.00718799999999,Denver Beer Co.,80202,denverbeerco,http://denverbeerco.com,False,False,True,CO,"1695 Platte St, Denver, CO, 80202, US"
AVwdWzDyByjofQCxoQQP,2220 Blake St,"brewery,american restaurant",Denver,US,39.75638065,-104.99136029999998,Breckenridge Colorado Craft,80205,breckbrew,http://www.breckbrew.com,False,False,False,CO,"2220 Blake St, Denver, CO, 80205, US"
AVwcxfhVByjofQCxiCYX,4526 Tennyson St,"restaurant,bar,brewery,breweries,brewery berkeley",Denver,US,39.77887,-105.04363000000001,Call to Arms Brewing Company,80212,,"http://calltoarmsbrewing.com/,http://calltoarmsbrewing.com",True,False,True,CO,"4526 Tennyson St, Denver, CO, 80212, US"
AV1TqysE3D1zeR_xE-pV,8700 Pena Blvd,"restaurant,american,pubs,brewery",Denver,US,39.839657,-104.67186,Denver Chophouse and Brewery,80249,,,True,True,True,CO,"8700 Pena Blvd, Denver, CO, 80249, US"
AVwcxObjkufWRAb5y05Z,24 Broadway,"restaurant,pubs,bar,american restaurant,beverage manufacturers,manufacturers,brewers,food manufacturers,restaurants,bar , american restaurant,bar , american restaurant central denver",Denver,US,39.71699,-104.987366,Historian's Ale House,80203,hahdenver,"http://www.historiansalehouse.com/,http://historiansalehouse.com",False,False,True,CO,"24 Broadway, Denver, CO, 80203, US"
AVwdc6ZOIN2L1WUfv-Ab,1634 18th St,"restaurant,brewery,restaurants,billiards pool halls,bars pubs,billiards bars,brew pubs",Denver,US,39.753357,-104.99853999999999,Wynkoop Brewing Company,80202,wynkoop,http://www.wynkoop.com/,False,False,False,CO,"1634 18th St, Denver, CO, 80202, US"
AVwdyiaI_7pvs4fz9SmK,2030 S Cherokee St,"restaurant,brewery,brewers",Denver,US,39.679752,-104.990773,Declaration Brewing,80223,declarationbrew,"http://www.declarationbrewing.com/,http://declarationbrewing.com",False,False,True,CO,"2030 S Cherokee St, Denver, CO, 80223, US"
AV1Tq7q3LD2H7whiaHU6,1257 West 120th Avenue,"restaurant,american,burgers,steak house,brewery",Denver,US,39.91493,-105.00075,C. B. & Potts Bighorn Brewing Company,80234,,http://www.cbpotts.com/colorado/westminster.html,True,False,True,CO,"1257 West 120th Avenue, Denver, CO, 80234, US"
AVwdF6R5kufWRAb52N_K,470 Broadway,"beer , ale retail,breweries,beer , ale distributors",Denver,US,39.723577,-104.987301,Banded Oak Brewing Company,80203,,,True,True,True,CO,"470 Broadway, Denver, CO, 80203, US"
AVwdEUh8kufWRAb5191g,Gate A63,"brewery , pub denver international airport,brewery",Denver,US,,,New Belgium Brewing Spoke,,,,True,True,True,CO,
AV1TquITLD2H7whiaGIE,1477 Monroe Street,"restaurant,brewery",Denver,US,39.739752,-104.94508,Cerebral Brewing,,,http://cerebralbrewing.com/,True,False,True,CO,
AV3c1vyNRxPSIh2ReNwT,1715 E Evans Ave,brewers,Denver,US,,,Fermaentra Brewery And Tap Room,80210,,,True,True,True,CO,"1715 E Evans Ave, Denver, CO, 80210, US"
AV50ndvBa4HuVbedEKyN,8500 Pena Blvd B80,"breweries , brew pubs,restaurants,american restaurants",Denver,US,,,New Belgium Hub,80249,,,True,True,True,CO,"8500 Pena Blvd B80, Denver, CO, 80249, US"
AV50pPjYIxWefVJwpp-S,2220 Blake St,"breweries , brew pubs,restaurants,bar , grill restaurants,pub restaurants",Denver,US,,,Breckenridge On Blake,80205,,,True,True,True,CO,"2220 Blake St, Denver, CO, 80205, US"
AVz-4KMHFcQ3k02bDl7p,2355 W 29th Ave. Denver CO,brewery,Denver,US,,,Zuni Street Brewing Company,80211,,,True,True,True,CO,"2355 W 29th Ave. Denver CO, Denver, CO, 80211, US"
AVwdJZrPIN2L1WUfsrsq,3855 Mariposa St,"brewery,brewery sunnyside",Denver,US,39.769974,-105.00296000000002,Diebolt Brewing Co.,80211,,http://dieboltbrewing.com,True,False,True,CO,"3855 Mariposa St, Denver, CO, 80211, US"
AVwczN_9ByjofQCxiUy4,800 Lincoln St,brewery,Denver,US,39.729307,-104.98576000000001,Lowdown Brewery+kitchen,80203,lowdownbrewery,http://www.mapsco.com,False,False,True,CO,"800 Lincoln St, Denver, CO, 80203, US"
AVwcoCnhByjofQCxgYec,4731 Lipan St,"winemaking equipment , supplies,wineries equipment , supplies,brewer equipment supplies , services",Denver,US,39.782295,-105.001843,Stomp Them Grapes Llc,80211,stompthemgrapes,,False,True,True,CO,"4731 Lipan St, Denver, CO, 80211, US"
AVwcqm15ByjofQCxg1ZB,3719 Walnut St,"brewery,performing arts venue,liquor stores,restaurants,brewery , performing arts venue five points,brewery , performing arts venue",Denver,US,39.76978177,-104.9728693,Black Shirt Brewing Co.,80205,,http://blackshirtbrewingco.com,True,False,True,CO,"3719 Walnut St, Denver, CO, 80205, US"
AVweU18zIN2L1WUf38Oa,2161 Blake St,"restaurant,american,breakfast , brunch,pubs,brewery,breweries , brew pubs,restaurants,bar , grill restaurants,pub restaurants,brewers,wineries,taverns,brew pubs,bars,beer , ale",Denver,US,39.755753000000006,-104.99242,Sandlot Brewery,80205,,http://bluemoon.com,True,False,True,CO,"2161 Blake St, Denver, CO, 80205, US"
AV1TroAf3D1zeR_xFDDg,2540 19th Street,"restaurant,german,breweries,brew pubs",Denver,US,39.761196000000005,-105.00674,Prost Brewing,80211,,https://prostbrewing.com/,True,False,True,CO,"2540 19th Street, Denver, CO, 80211, US"
AVwdMaE3IN2L1WUftMkM,3001 Walnut St,brewery,Denver,US,39.76317,-104.981319,Epic Brewing Denver,80205,,http://epicbrewing.com,True,False,True,CO,"3001 Walnut St, Denver, CO, 80205, US"
AVwdzEfvByjofQCxsmMV,490 Santa Fe Dr,"brewery,beer garden,breweries , brew pubs,pizza,restaurants,pub restaurants,restaurant,brewery , beer garden,brewery , beer garden baker",Denver,US,39.72394,-104.99828000000001,Black Sky Brewery,80204,,http://blackskybrewing.com,True,False,False,CO,"490 Santa Fe Dr, Denver, CO, 80204, US"
AVwc0bZfkufWRAb5zW0v,2540 19th St,"brewery,restaurant,brewery highl,",Denver,US,39.761379999999996,-105.00667,Prost Brewing,80211,prostbrewing,http://www.prostbrewing.com,False,False,True,CO,"2540 19th St, Denver, CO, 80211, US"
AVwcndqPByjofQCxgRxr,1700 Vine St,"brewery,beer garden,american restaurant,brewery, beer garden, , american restaurant,brewery, beer garden, , american restaurant city park west",Denver,US,39.7433781,-104.9619788,Vine Street Pub & Brewery,80206,,"http://mountainsunpub.com,http://www.mountainsunpub.com",True,False,True,CO,"1700 Vine St, Denver, CO, 80206, US"
AV1TpzSCFcQ3k02bFSki,1735 19th Street,"restaurant,american,steak house,brewery",Denver,US,39.755074,-104.99713999999999,The Denver Chophouse and Brewery,80202,,http://www.denverchophouse.com/,True,False,True,CO,"1735 19th Street, Denver, CO, 80202, US"
AV1TqwU5LD2H7whiaGRN,Blake Street and 22nd Street,"restaurant,american,brewery",Denver,US,39.755966,-104.99238999999999,Blue Moon Brewery,80205,,,True,True,True,CO,"Blake Street and 22nd Street, Denver, CO, 80205, US"
AV1TqxDj-gnIPe8DWj1S,1290 S Broadway,"restaurant,brewery",Denver,US,39.737567,-104.9847179,Former Future Brewery,80210,,http://www.blackprojectbeer.com/,True,False,True,CO,"1290 S Broadway, Denver, CO, 80210, US"
AVweETJPByjofQCxu_C4,1414 Market St.,"restaurant,american,breweries , brew pubs",Denver,US,39.74828,-105.00036999999999,Oak Tavern,80202,,,True,True,True,CO,"1414 Market St., Denver, CO, 80202, US"
AVwcy0nLIN2L1WUfo9ey,8286 E Northfield Blvd.,"restaurant,bars , pubs,breweries",Denver,US,39.780914,-104.89243,Stapleton Tap House,80238,,,True,True,True,CO,"8286 E Northfield Blvd., Denver, CO, 80238, US"
AVwc2Xer_7pvs4fzznKb,2560 W 2nd Ave,brewery,Denver,US,,,Colorado Cider Co,80219,co_cider,,False,True,True,CO,"2560 W 2nd Ave, Denver, CO, 80219, US"
AVzA_Y4SLD2H7whiWI1h,38th St,brewery,Denver,US,,,Blue Moon Brewing Company @ RiNo District,,,,True,True,True,CO,
AVwdmY5OByjofQCxqtit,471 Kalamath St,"beer gardens,bars , pubs,breweries,beer , ale distributors,beer , ale retail",Denver,US,39.723645,-105.000371,Crazy Mountain Brewery Tap Room,80204,,,True,True,True,CO,"471 Kalamath St, Denver, CO, 80204, US"
AVwdCsKZByjofQCxk5WD,5217 W 25th Ave,"bars , pubs,breweries",Denver,US,39.753508000000004,-105.12978400000001,Joyride Brewing Co,80214,,,True,True,True,CO,"5217 W 25th Ave, Denver, CO, 80214, US"
AVwcjJ7AByjofQCxffP2,2811 Walnut St,"brewery,bar,restaurant",Denver,US,39.761694,-104.98383999999999,Stem Ciders,80205,stemciders,"http://stemciders.com,http://stemciders.com/",False,False,True,CO,"2811 Walnut St, Denver, CO, 80205, US"
AVyirrHJKV4T4IkwNaP1,925 W 8th Ave,"brewery,pub,beer store",Denver,US,,,The Intrepid Sojourner Beer Project,80204,,,True,True,True,CO,"925 W 8th Ave, Denver, CO, 80204, US"
AVwejdNaIN2L1WUf6B5e,4430 W 29th Ave,"breweries , wineries",Denver,US,,,Hogshead Brewery,80212,,http://www.hogsheadbrewery.com,True,False,True,CO,"4430 W 29th Ave, Denver, CO, 80212, US"
AVwcqPp6_7pvs4fzxkj5,1801 California St,"metal products wholesale , manufacturers,breweries,beverages retail,beer , ale distributors,alcoholic beverages wholesale , manufacturers",Denver,US,39.747281,-104.989791,Molson Coors Brewing Co,80202,,,True,True,True,CO,"1801 California St, Denver, CO, 80202, US"
AV1c8mQz3-Khe5l_MT_z,88 Steele St 25,"beverage manufacturers,coffee tea manufacturers,breweries",Denver,US,39.7175,-104.9495,Teakoe & Co,80206,,,True,True,True,CO,"88 Steele St 25, Denver, CO, 80206, US"
AV1c8yeG3-Khe5l_MU2b,2924 W 20th Ave,brewers,Denver,US,39.7475,-105.024,Little Machine,80211,,,True,True,True,CO,"2924 W 20th Ave, Denver, CO, 80211, US"
AV1dDoPjIxWefVJwezDr,3316 W 64th Ave,"wineries,brewers",Denver,US,39.8118,-105.0303,Spero Winery,80221,,,True,True,True,CO,"3316 W 64th Ave, Denver, CO, 80221, US"
AV1dDKnG3-Khe5l_MjiA,1441 W 46th Ave,brewers,Denver,US,39.7807,-105.0047,Crooked Stave Co Distributing,80211,,,True,True,True,CO,"1441 W 46th Ave, Denver, CO, 80211, US"
AV1c8yeA3-Khe5l_MU2a,1801 California St 4600,brewers,Denver,US,39.7471,-104.9899,Molson Coors Brewing Co,80202,,,True,True,True,CO,"1801 California St 4600, Denver, CO, 80202, US"
AV492ksaIxWefVJwlWqA,Denver International Airport,"restaurant,american,pizza,pubs,brewery",Denver,US,39.73958,-104.98731000000001,Rock Bottom Restaurant & Brewery,,,,True,True,True,CO,
AVzBEfEYFcQ3k02bBd2p,7101 East Colfax Ave,brewery,Denver,US,,,Fiction Beer Company,80220,,,True,True,True,CO,"7101 East Colfax Ave, Denver, CO, 80220, US"
AVwdKVv_IN2L1WUfs1xc,925 W 9th Ave,"brewery,restaurant",Denver,US,39.730644,-104.99911499999999,Renegade Brewing Co.,80204,,http://www.renegadebrewing.com,True,False,True,CO,"925 W 9th Ave, Denver, CO, 80204, US"
AVzYhbSR3D1zeR_xBsQT,22nd and Blake,"bars , pubs,craft breweries",Denver,US,,,Blue Moon Brewing Company,80205,,,True,True,True,CO,"22nd and Blake, Denver, CO, 80205, US"
AVwdOxI6kufWRAb53r_R,520 E Colfax Ave,"breweries,brewery",Denver,US,39.739902,-104.980073,Lost Highway Brewing Co,80203,,http://www.losthighwaybrewing.com,True,False,True,CO,"520 E Colfax Ave, Denver, CO, 80203, US"
AVwd1cPw_7pvs4fz9r74,4970 Lowell Blvd,"breweries,brewery,gold silver , platinum buyers , dealers",Denver,US,39.786845,-105.03440800000001,Goldspot Brewing Co,80221,goldspotbrew,http://goldspotbrewing.com,False,False,True,CO,"4970 Lowell Blvd, Denver, CO, 80221, US"
AV1c8mRnIxWefVJwei6K,5951 Marion Dr A,"beverage manufacturers,vending machine manufacturers,coupons accepted,breweries,other business services,wholesalers,wholesale vending machines",Denver,US,39.8048,-104.9708,Action Enterprises Inc,80216,,,True,True,True,CO,"5951 Marion Dr A, Denver, CO, 80216, US"
AVwcwx3PByjofQCxh55j,925 W 9th Ave,breweries,Denver,US,39.730657,-104.99891299999999,Renegrade Brewing,80204,,,True,True,True,CO,"925 W 9th Ave, Denver, CO, 80204, US"
AVwcgK-F_7pvs4fzvxT9,1338 S Valentia St,"water filtration equipment retail,home water filtration equipment,chemical water purification,water purification services,water analysis equipment , supplies,brewery,industrial equipment , supplies dealers,water testing laboratories,testing laboratories,bottled , bulk water,water treatment service equipment , supplies",Denver,US,39.692422,-104.891554,Highland Water,80247,copperkettleden,http://www.copperkettledenver.com/,False,False,True,CO,"1338 S Valentia St, Denver, CO, 80247, US"
AV2gdeLGIxWefVJwi6gg,4950 Nome St E,brewers,Denver,US,,,Leopold Brothers,80239,,,True,True,True,CO,"4950 Nome St E, Denver, CO, 80239, US"
AV1c8mQl3-Khe5l_MT_x,1050 S Wadsworth Blvd Ste B,"hobby events,beverage manufacturers,brewers,breweries,bars pubs,crafts hobbies,general merch,ise stores",Denver,US,39.6976,-105.0814,Barley Haven,80226,,,True,True,True,CO,"1050 S Wadsworth Blvd Ste B, Denver, CO, 80226, US"
AV1eRowYa4HuVbed6skO,2401 Blake St Ste 2,"brewers,wineries",Denver,US,39.7585,-104.9891,Flying Dog Brewery,80205,,,True,True,True,CO,"2401 Blake St Ste 2, Denver, CO, 80205, US"
AV5Bp9E0a4HuVbedBM7M,2924 W 20th Ave,brewers,Denver,US,39.7473,-105.0243,Little Machine Brew House,80211,,,True,True,True,CO,"2924 W 20th Ave, Denver, CO, 80211, US"
AV43iF2P3-Khe5l_SR8L,2924 W 20th Ave,brewers,Denver,US,39.7473,-105.0243,Little Machine Brew House,80211,,,True,True,True,CO,"2924 W 20th Ave, Denver, CO, 80211, US"
AVwcmreKByjofQCxgJHh,7101 E Colfax Ave,"brewery,restaurant",Denver,US,39.74032636,-104.9056578,Fiction Beer Company,80220,fictionbeer,http://www.fictionbeer.com,False,False,True,CO,"7101 E Colfax Ave, Denver, CO, 80220, US"
AVzBCtKA-gnIPe8DSiVU,520 E Colfax Ave,brewery,Denver,US,,,Lost Highway Brewing Company,80203,,,True,True,True,CO,"520 E Colfax Ave, Denver, CO, 80203, US"
AVzA9Pk_-gnIPe8DSe2S,1057 S Wadsworth Blvd,brewery,Denver,US,,,CAUTION: Brewing Company,80226,,,True,True,True,CO,"1057 S Wadsworth Blvd, Denver, CO, 80226, US"
AVwcrlAtIN2L1WUfntqX,6921 Lowell Blvd,"breweries , brew pubs",Denver,US,39.822472,-105.034535,Outpost Bar,80221-2654,,,True,True,True,CO,"6921 Lowell Blvd, Denver, CO, 80221-2654, US"
AV12jiXZIxWefVJwiCbC,7045 E 38th Ave,brewers,Denver,US,39.7696,-104.9059,Station 26 Brewing,80207,,,True,True,True,CO,"7045 E 38th Ave, Denver, CO, 80207, US"
AV50m-RtIxWefVJwplj_,1001 16th St Ste 100,"banquet facilities,breweries , brew pubs,karaoke,restaurants,bar , grill restaurants,pub restaurants",Denver,US,,,Rock Bottom Brewery Restaurant-denver,80265,,,True,True,True,CO,"1001 16th St Ste 100, Denver, CO, 80265, US"
AVweCJL2ByjofQCxusFF,6021 Washington St,"brewery,brew pubs,beer , ale",Denver,US,39.80638,-104.97809,River North Brewery,80216,,,True,True,True,CO,"6021 Washington St, Denver, CO, 80216, US"
AVzj6OapFcQ3k02bCneM,3131 Walnut St 1,"breweries , brew pubs,halls , auditoriums,pizza,restaurants,american restaurants,bar , grill restaurants,bars pubs,bars clubs,neighborhood bars,halls auditoriums",Denver,US,,,Walnut Room,80205,,,True,True,True,CO,"3131 Walnut St 1, Denver, CO, 80205, US"
AVwdYX1qByjofQCxogns,Concourse C near C32,"pub,brewery,american restaurant,pub, brewery, , american restaurant,pub, brewery, , american restaurant denver international airport",Denver,US,39.86305720000001,-104.67608299999999,Rock Bottom Restaurant & Brewery,80249,hmshost,http://rockbottom.com,False,False,True,CO,"Concourse C near C32, Denver, CO, 80249, US"
AVwc4Hb1kufWRAb5z9nt,at Concourse A,"steakhouse,american restaurant,brewery,steakhouse, american restaurant, , brewery",Denver,US,39.85380962,-104.67380759999999,Denver Chop House & Brewery,80202,hmshost,http://denverchophouse.com,False,False,True,CO,"at Concourse A, Denver, CO, 80202, US"
AVwegOZ8kufWRAb5DilT,1715 E Evans Ave,"brewery,brewery university",Denver,US,39.67862122,-104.96702749999999,FERMÀ_À_NTRA,80210,,http://fermaentra.com,True,False,True,CO,"1715 E Evans Ave, Denver, CO, 80210, US"
AVwdIhuy_7pvs4fz2luk,45 Federal Blvd,"clothing-retail,restaurants,american restaurants,bar , grill restaurants,bars pubs,bars clubs,taverns,sleepwear,clothing,breweries , brew pubs",Denver,US,39.7176,-105.0253,El Ballezano,80219,,,True,True,True,CO,"45 Federal Blvd, Denver, CO, 80219, US"
AVzBDt_hLD2H7whiWLbj,1257 W 120th Ave,"american restaurant,brewery",Denver,US,,,C.B. & Potts,80234,,,True,True,True,CO,"1257 W 120th Ave, Denver, CO, 80234, US"
AV5Xys4HRxPSIh2Riuha,320 Broadway,brewers,Denver,US,39.7214,-104.9871,Bare Brewing Co,80203,,,True,True,True,CO,"320 Broadway, Denver, CO, 80203, US"
AV5XxeYTRxPSIh2Rir9j,2501 Sheridan Blvd,brewers,Denver,US,39.7532,-105.0537,Joyride Brewing,80214,,,True,True,True,CO,"2501 Sheridan Blvd, Denver, CO, 80214, US"
AVwdTptL_7pvs4fz4fpQ,7314 Washington St,brewery,Denver,US,,,Creede Brewing Company,80229,,,True,True,True,CO,"7314 Washington St, Denver, CO, 80229, US"
AVwdKm-qkufWRAb52-X3,1710 S Broadway,"brewery,brewery platt park,restaurant",Denver,US,39.68551286,-104.9873892,Grandma's House,80210,grandmasbeerco,http://www.grandmasbeer.co,False,False,True,CO,"1710 S Broadway, Denver, CO, 80210, US"
AVweHjS1_7pvs4fzAMnJ,3845 Lipan St,"brewery,bar",Denver,US,,,Factotum Brewhouse,80211,factotumbrew,http://www.factotumbrewhouse.com,False,False,True,CO,"3845 Lipan St, Denver, CO, 80211, US"
AVzBDa6q3D1zeR_xBF6x,2560 W 2nd Ave. #10,brewery,Denver,US,,,Colorado Cider Company,80219,,,True,True,True,CO,"2560 W 2nd Ave. #10, Denver, CO, 80219, US"
AVwduj2HkufWRAb58sux,2601 Walnut St,"brewery,brewers",Denver,US,39.7593,-104.9863,Zephyr Brewing Co.,80205,,,True,True,True,CO,"2601 Walnut St, Denver, CO, 80205, US"
AVzBDM5QFcQ3k02bBdRH,2811 Walnut St Unit 150,"brewery,bar",Denver,US,,,Stem Ciders,80205,,,True,True,True,CO,"2811 Walnut St Unit 150, Denver, CO, 80205, US"
AVweJNOf_7pvs4fzAawg,2201 Arapahoe St,"brewery,bars , pubs,breweries,brewers,wineries",Denver,US,39.7536,-104.9885,Great Divide Brewing Co.,80205,greatdividebrew,http://www.greatdivide.com,False,False,False,CO,"2201 Arapahoe St, Denver, CO, 80205, US"
AVwd2_dekufWRAb593yG,2920 Larimer St,"brewery,brewers,brewery curtis park",Denver,US,39.7615,-104.98100000000001,Ratio Beerworks,80205,ratiobeerworks,http://ratiobeerworks.com,False,False,True,CO,"2920 Larimer St, Denver, CO, 80205, US"
AV49C3vO3-Khe5l_Sx5V,1875 S. Pearl St,"restaurant,pubs,brewery",Denver,US,39.682567999999996,-104.98078000000001,Denver pearl brewing,,,,True,True,True,CO,
AV49A_6URxPSIh2Rfwl5,Denver,"restaurant,american,bar,brewery",Denver,US,39.862953999999995,-104.676017,Rock Bottom Restaurant & Brewery,,,,True,True,True,CO,
AVweaIC8IN2L1WUf4pSm,4460 W. 29th Ave,"restaurant,pubs,brewery,brewery sloan lake",Denver,US,39.75821,-105.04503999999999,Hogshead Brewery,80212,,"http://www.hogsheadbrewery.com/,http://hogsheadbrewery.com",True,False,True,CO,"4460 W. 29th Ave, Denver, CO, 80212, US"
AV1TpzKf-gnIPe8DWaO3,800 Lincoln Street,"restaurant,american,pizza,pubs,brewery",Denver,US,39.72931,-104.98615,Lowdown Brewery + Kitchen,80203,,http://www.lowdownbrewery.com/,True,False,True,CO,"800 Lincoln Street, Denver, CO, 80203, US"
AVwcuVZuByjofQCxheeb,4526 Tennyson St,"restaurant,italian,pizza,mexican,brewery,juice bars,karaoke,restaurants,american restaurants,health food restaurants,italian restaurants,mexican restaurants,natural food restaurants,vegetarian restaurants",Denver,US,39.778929,-105.043609,Mas Kaos Pizzeria & Taqueria,80212,,"https://maskaosdenver.com/,https://maskaosdenver.com",True,False,False,CO,"4526 Tennyson St, Denver, CO, 80212, US"
AVweSwRJByjofQCxw802,1309 26th St.,"bar,restaurant,breweries , brew pubs,household kitchen cabinets , equipment,restaurants,bar , restaurant curtis park",Denver,US,,,First Draft Taproom & Kitchen,80205,firstdraftden,http://www.firstdraftdenver.com,False,False,False,CO,"1309 26th St., Denver, CO, 80205, US"
AVwdaBdEIN2L1WUfve4-,1139 20th St,"restaurant,pubs,brewery",Denver,US,39.75226,-104.99139,Jagged Mountain Brewery,80202,,"http://www.jaggedmountainbrewery.com/,http://jaggedmountainbrewery.com",True,False,False,CO,"1139 20th St, Denver, CO, 80202, US"
AV1TpzKXFcQ3k02bFSjA,490 Santa Fe Drive,"restaurant,pizza,pubs,brewery",Denver,US,39.723938000000004,-104.9983,Black Sky Brewery,80204,,,True,True,True,CO,"490 Santa Fe Drive, Denver, CO, 80204, US"
